txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0x49b1c1218f1d0ce10f41a80dcde29b907d92ad1c154c498cc2366d1ba74d4b12,12049364,Plant,0,"0,00104762","2,91",2024-08-24 20:14:56,0,0,0,4,False,eyes-sleepless,mouth-square-teeth,ears-pogona,horn-bamboo-shoot,back-green-thorns,tail-ranchu,0,0
0x8e4e1d7e7f1263b5dd0903d055fb34c1652583c02752401c4b175d649a109904,11914259,Plant,3,"0,00115","3,19",2024-08-24 20:14:41,0,0,0,11,False,eyes-cucumber-slice,mouth-catfish,ears-innocent-lamb,horn-bamboo-shoot,back-bidens,tail-cloud,0,0
0x3803c91db9b4162d2df5e2c73b91207afe37a6b45e7aa0ff5623c6626e7fba41,12004052,Mech,3,"0,00155542","4,32",2024-08-24 20:12:53,0,0,0,19,True,eyes-puppy,mouth-confident,ears-zen,horn-imp,back-risky-beast,tail-hare,0,0
0x8a47bb17287299712a8f0cf57cf0992706393c4acf12100a6b915cbc6c61690b,12029783,Aquatic,0,"0,00204665","5,68",2024-08-24 20:12:20,0,0,0,8,False,eyes-lucas,mouth-lam,ears-small-frill,horn-cuckoo,back-green-thorns,tail-cattail,0,0
0x7071998c5b07060f63de1eae0e0026989565110127e0d9916b1cc22735ef2c37,6794648,Reptile,3,"0,0019487","5,41",2024-08-24 20:12:14,0,0,0,10,False,eyes-gecko,mouth-tiny-turtle,ears-sakura-2,horn-incisor,back-green-thorns,tail-wall-gecko,0,0
0xb1b9fa8ce1cb61a69971a2c513b384597364de6250c1b253a836a65af3bc8cd0,1928098,Aquatic,2,"0,00167964","4,66",2024-08-24 20:12:02,0,0,0,9,True,eyes-telescope,mouth-piranha,ears-early-bird,horn-babylonia,back-goldfish,tail-gerbil,0,0
0x7b2611768c9e970ba382d0a27be042d293e4feafe742c65629e7da7d6e8636a9,615573,Bug,4,"0,003","8,33",2024-08-24 20:11:11,0,0,0,4,False,eyes-neo,mouth-tiny-turtle,ears-ear-breathing,horn-parasite,back-snail-shell,tail-fish-snack,0,0
0x8fdcbe5a603ebd06c8bc67b831103a70a0f38c6b821bf9fe439d7d54369bfeef,11696412,Reptile,1,"0,0045","12,51",2024-08-24 20:25:41,0,0,0,22,False,eyes-gecko,mouth-hungry-bird,ears-small-frill,horn-scaly-spoon,back-green-thorns,tail-gila,0,0
0xd95ce02533d8167b4c6be1a19acaad4f703c59f961b262f079b33a6546fe4536,12052983,Beast,4,"0,00922387","25,64",2024-08-24 20:22:14,0,0,0,4,False,eyes-puppy,mouth-confident,ears-zen,horn-imp,back-ronin,tail-shrimp,0,0
0xa470fe14da7467fb261a08fb9c0d589b2481b22bdf1a675cf3947c0f0e7acd2c,5601280,Aquatic,1,"0,00106653","2,96",2024-08-24 20:21:14,0,0,0,8,False,eyes-tricky,mouth-lam,ears-tiny-fan,horn-oranda,back-goldfish,tail-nimo,0,0
0x5061e5dffd23a95a53e1431ad243acec6dfe56b26b6eb3d92905ff9d1d5ebdb5,3307331,Beast,2,"0,00138224","3,84",2024-08-24 20:20:44,0,0,0,1,False,eyes-chubby,mouth-goda,ears-nyan,horn-scaly-spear,back-jaguar,tail-rice,0,0
0xa079610584d3ed29f1551e56b0d0c45dfe3a2099cacd182795439351d9ce756b,11478060,Dusk,3,"0,003495","9,71",2024-08-24 20:19:23,0,0,0,14,False,eyes-gecko,mouth-tiny-turtle,ears-small-frill,horn-scaly-spoon,back-green-thorns,tail-yam,0,0
0x5f103ea4ce91d58c49103dcc97efeb5eb32a03b6d57312b9b4692d3d61c86cf3,11558147,Plant,0,"0,0016","4,45",2024-08-24 20:18:41,0,0,0,1,False,eyes-gecko,mouth-square-teeth,ears-leaf-bug,horn-leaf-bug,back-pumpkin,tail-fish-snack,0,0
0x8148f556704d81d4788fcd2b8e448e5026e3f50dcd75e1dfe5e439461a643d7e,4067939,Beast,0,"0,001","2,78",2024-08-24 20:18:14,0,0,0,5,False,eyes-kotaro,mouth-confident,ears-sidebarb,horn-imp,back-ronin,tail-nut-cracker,0,0
0x1663f67c2c259a5e3bb7ecc4069ed56de20498f0dd87cf1e3fac7a70e9001804,11348901,Bug,1,"0,00113","3,14",2024-08-24 20:17:35,0,0,0,2,False,eyes-scar,mouth-confident,ears-gill,horn-parasite,back-snail-shell,tail-cottontail,0,0
0x298cd4f0254b173c939a7c60c8793d6cd655c22a53b101b186cb27b0baa42881,11687490,Bug,0,"0,001449","4,03",2024-08-24 20:17:11,0,0,0,7,False,eyes-gero,mouth-confident,ears-leaf-bug,horn-leaf-bug,back-watering-can,tail-granmas-fan,0,0
0x6186d9df541b7be0be7de26c4f406a561462c653eaeaab0d6ab2e8ce08c4232e,4018359,Beast,1,"0,00101","2,81",2024-08-24 20:16:23,0,0,0,8,False,eyes-chubby,mouth-nut-cracker,ears-nut-cracker,horn-dual-blade,back-jaguar,tail-nut-cracker,0,0
0xf975c994dae655b9cdcf7a4074fdba6266638271c7c6f388013be8fb9184b6e8,11877315,Aquatic,0,"0,0011","3,06",2024-08-24 20:15:14,0,0,0,4,False,eyes-neo,mouth-kotaro,ears-owl,horn-strawberry-shortcake,back-furball,tail-swallow,0,0
0x9fab6fa8f91e79c80f1004ab62a9307ce42e42014ca993ae40e38683f6196960,12047472,Dawn,5,"0,00467778","12,91",2024-08-24 20:40:11,0,0,0,5,False,eyes-blossom,mouth-piranha,ears-zen,horn-eggshell,back-pigeon-post,tail-shrimp,0,0
